date,spend,impressions,clicks,conversions,revenue
2024-01-01,1000.00,50000,1000,35,3500.00
2024-01-02,1200.00,55000,1150,42,4200.00
2024-01-03,950.00,48000,920,31,3100.00
2024-01-04,1100.00,52000,1040,38,3800.00
2024-01-05,980.00,49000,980,33,3300.00
2024-01-06,1150.00,53000,1060,40,4000.00
2024-01-07,1050.00,51000,1020,36,3600.00
2024-01-08,1250.00,58000,1160,45,4500.00
2024-01-09,1080.00,52500,1050,37,3700.00
2024-01-10,1020.00,50500,1010,34,3400.00
2024-01-11,1180.00,55500,1110,41,4100.00
2024-01-12,1000.00,50000,1000,35,3500.00
2024-01-13,1300.00,60000,1200,46,4600.00
2024-01-14,1120.00,53000,1060,39,3900.00
2024-01-15,960.00,48500,970,32,3200.00
2024-01-16,1200.00,56000,1120,43,4300.00
2024-01-17,1050.00,51500,1030,36,3600.00
2024-01-18,1150.00,54000,1080,40,4000.00
2024-01-19,1080.00,52000,1040,37,3700.00
2024-01-20,1220.00,57000,1140,44,4400.00
2024-01-21,1000.00,50000,1000,35,3500.00
2024-01-22,1180.00,55000,1100,42,4200.00
2024-01-23,1040.00,51000,1020,36,3600.00
2024-01-24,1160.00,54500,1090,41,4100.00
2024-01-25,1090.00,52500,1050,38,3800.00
2024-01-26,1230.00,58000,1160,45,4500.00
2024-01-27,1070.00,51500,1030,37,3700.00
2024-01-28,1140.00,53500,1070,40,4000.00
2024-01-29,1100.00,52000,1040,38,3800.00
2024-01-30,1200.00,56000,1120,43,4300.00
